age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,country,salary,anomaly
39,7,77516,9,13,4,1,1,4,1,2174,0,40,39,0,-1
50,6,83311,9,13,2,4,0,4,1,0,0,13,39,0,-1
49,4,160187,6,5,3,8,1,2,0,0,0,16,23,0,-1
52,6,209642,11,9,2,4,0,4,1,0,0,45,39,1,-1
31,4,45781,12,14,4,10,1,4,0,14084,0,50,39,1,-1
42,4,159449,9,13,2,4,0,4,1,5178,0,40,39,1,-1
37,4,280464,15,10,2,4,0,2,1,0,0,80,39,1,-1
30,7,141297,9,13,2,10,0,1,1,0,0,40,19,1,-1
40,4,121772,8,11,2,3,0,1,1,0,0,40,0,1,-1
38,4,28887,1,7,2,12,0,4,1,0,0,50,39,0,-1
43,6,292175,12,14,0,4,4,4,0,0,0,45,39,1,-1
40,4,193524,10,16,2,10,0,4,1,0,0,60,39,1,-1
54,4,302146,11,9,5,8,4,2,0,0,0,20,39,0,-1
56,2,216851,9,13,2,13,0,4,1,0,0,40,39,1,-1
54,0,180211,15,10,2,0,0,1,1,0,0,60,35,1,-1
39,4,367260,11,9,0,4,1,4,1,0,0,80,39,0,-1
22,7,311512,15,10,2,8,0,2,1,0,0,15,39,0,-1
19,4,544091,11,9,1,1,5,4,0,0,0,25,39,0,-1
31,4,84154,15,10,2,12,0,4,1,0,0,38,0,1,-1
31,4,507875,6,5,2,7,0,4,1,0,0,43,39,0,-1
57,1,337895,9,13,2,10,0,2,1,0,0,40,39,1,-1
18,4,226956,11,9,4,8,3,4,0,0,0,30,0,0,-1
47,4,51835,14,15,2,10,5,4,0,0,1902,60,16,1,-1
50,1,251585,9,13,0,4,1,4,1,0,0,55,39,1,-1
47,5,109832,11,9,0,4,1,4,1,0,0,60,39,0,-1
43,4,237993,15,10,2,13,0,4,1,0,0,40,39,1,-1
30,4,188146,11,9,2,7,0,4,1,5013,0,40,39,0,-1
30,4,59496,9,13,2,12,0,4,1,2407,0,40,39,0,-1
42,4,116632,10,16,2,10,0,4,1,0,0,45,39,1,-1
53,4,169846,11,9,2,1,5,4,0,0,0,40,39,1,-1
49,5,191681,15,10,2,4,0,4,1,0,0,50,39,1,-1
19,4,101509,15,10,4,10,3,4,1,0,0,32,39,0,-1
29,6,162298,9,13,2,12,0,4,1,0,0,70,39,1,-1
79,4,124744,15,10,2,10,2,4,1,0,0,20,39,0,-1
67,0,212759,0,6,2,0,0,4,1,0,0,2,39,0,-1
18,4,309634,1,7,4,8,3,4,0,0,0,22,39,0,-1
18,4,446839,11,9,4,12,1,4,1,0,0,30,39,0,-1
59,4,159937,11,9,2,12,0,4,1,0,0,48,39,0,-1
44,4,343591,11,9,0,3,1,4,0,14344,0,40,39,1,-1
53,4,346253,11,9,0,12,3,4,0,0,0,35,39,0,-1
49,2,268234,11,9,2,11,0,4,1,0,0,40,39,1,-1
43,1,410867,10,16,4,10,1,4,0,0,0,50,39,1,-1
34,2,226296,9,13,2,11,0,4,1,0,0,40,39,1,-1
48,6,191277,10,16,2,10,0,4,1,0,1902,60,39,1,-1
37,4,202683,15,10,2,12,0,4,1,0,0,48,39,1,-1
76,4,124191,12,14,2,4,0,4,1,0,0,40,39,1,-1
44,4,198282,9,13,2,4,0,4,1,15024,0,60,39,1,-1
32,5,317660,11,9,2,3,0,4,1,7688,0,40,39,1,-1
17,0,304873,0,6,4,0,3,4,0,34095,0,32,39,0,-1
24,4,432376,9,13,4,12,2,4,1,0,0,40,39,0,-1
38,4,65324,14,15,2,10,0,4,1,0,0,40,39,1,-1
56,6,335605,11,9,2,8,0,4,1,0,1887,50,2,1,-1
28,4,377869,15,10,2,12,5,4,0,4064,0,25,39,0,-1
56,5,303090,15,10,2,12,0,4,1,0,0,50,39,0,-1
55,4,247552,15,10,2,12,0,4,1,0,0,56,39,0,-1
29,7,267989,9,13,2,10,0,4,1,0,0,50,39,1,-1
19,4,301606,15,10,4,8,3,2,1,0,0,35,39,0,-1
47,4,287828,9,13,2,4,5,4,0,0,0,40,39,1,-1
20,4,111697,15,10,4,1,3,4,0,0,1719,28,39,0,-1
31,4,114937,7,12,2,1,0,4,1,0,0,40,39,1,-1
28,4,69621,7,12,4,12,1,4,0,0,0,60,39,0,-1
38,6,120985,11,9,2,3,0,4,1,4386,0,35,39,0,-1
38,1,125933,12,14,2,10,0,4,1,0,0,40,20,1,-1
43,6,56920,11,9,2,3,0,4,1,0,0,60,39,0,-1
20,4,34310,15,10,4,12,3,4,1,0,0,20,39,0,-1
49,4,81973,15,10,2,3,0,1,1,0,0,40,39,1,-1
61,5,66614,11,9,2,3,0,4,1,0,0,40,39,0,-1
19,4,316868,15,10,4,8,3,4,1,0,0,30,26,0,-1
70,4,105376,15,10,4,13,2,4,1,0,0,40,39,0,-1
36,4,108293,11,9,6,8,4,4,0,0,0,24,39,0,-1
64,4,181232,1,7,2,3,0,4,1,0,2179,40,39,0,-1
21,4,296158,11,9,4,3,3,4,1,0,0,35,39,0,-1
52,0,252903,11,9,0,0,1,4,1,0,0,45,39,1,-1
71,6,494223,15,10,5,12,4,2,1,0,1816,2,39,0,-1
68,0,38317,3,2,0,0,1,4,0,0,0,20,39,0,-1
18,4,25828,1,7,4,6,3,4,1,0,0,16,39,0,-1
66,2,54826,8,11,6,10,1,4,0,0,0,20,39,0,-1
51,4,96062,15,10,2,12,0,4,1,0,1977,40,39,1,-1
27,4,428030,9,13,4,3,1,4,1,0,0,50,39,0,-1
28,7,149624,9,13,2,10,0,4,1,0,0,40,39,1,-1
34,4,483777,11,9,4,6,1,2,1,0,0,40,39,0,-1
18,4,183930,11,9,4,8,3,4,1,0,0,12,39,0,-1
33,4,37274,9,13,2,10,0,4,1,0,0,65,39,0,-1
44,2,181344,15,10,2,4,0,2,1,0,0,38,39,1,-1
